id,Chinese,English,Status
95,但,but/yet/however/only/merely/still,1
96,因,cause/reason/because,1
97,只,"earth-spirit/peace, (a measure word, for birds and some animals, etc.)/single/only, M for one of a pair, only/merely/just/but, but/only",1
98,从,"lax/yielding/unhurried, from/obey/observe/follow, second cousin",1
99,想,to think/to believe/to suppose/to wish/to want/to miss,1
100,实,real/true/honest/really/solid,1
101,日,Japan/day/sun/date/day of the month,1
102,军,army/military/arms,1
103,者,"-ist, -er (person)/person (who does sth)",1
104,意,idea/meaning/wish/desire/(abbr.) Italy,1
105,无,-less/not to have/no/none/not/to lack/un-,1
106,力,power/force/strength,1
107,它,it,1
108,与,"(interrog. part.), and/to give/together with, take part in",1
109,长,"length/long/forever/always/constantly, chief/head/elder/to grow/to develop",1
110,把,"(a measure word)/(marker for direct-object)/to hold/to contain/to grasp/to take hold of, handle",1
111,机,machine/opportunity/secret,1
112,十,ten/10,1
113,民,the people/nationality/citizen,1
114,第,"(prefix before a number, for ordering numbers, e.g. ""first"", ""number two"", etc)",1
115,公,just/honorable (designation)/public/common,1
116,此,this/these,1
117,已,already/to stop/then/afterwards,1
118,工,work/worker/skill/profession/trade/craft/labor,1
119,使,to make/to cause/to enable/to use/to employ/messenger,1
120,情,feeling/emotion/passion/situation,1
121,明,clear/bright/to understand/next/the Ming dynasty,1
122,性,sex/nature/surname/suffix corresponding to -ness or -ity,1
123,知,to know/to be aware,1
124,全,all/whole/entire/every/complete,1
125,三,three/3,1
126,又,(once) again/also/both... and.../again,1
127,关,(surname)/mountain pass/to close/to shut/to turn off/to concern/to involve,1
128,点,(downwards-right convex character stroke)/o'clock/(a measure word)/point/dot/(decimal) point),1
129,正,"Chinese 1st month of year, just (right)/main/upright/straight/correct/principle",1
130,业,business/occupation/study,1
131,外,outside/in addition/foreign/external,1
132,将,"(will, shall, ""future tense"")/ready/prepared/to get/to use, a general",1
133,两,both/two/ounce/some/a few/tael,1
134,高,high/tall,1
135,间,"between/among/space/(measure word), interstice/separate",1
136,由,follow/from/it is for...to/reason/cause/because of/due to/by/to/to leave it (to sb),1
137,问,to ask,1
138,很,very/extremely,1
139,最,(the) most/-est,1
140,重,"to double/to repeat/repetition/iteration/again/a layer, heavy/serious",1
141,并,"and/furthermore/(not) at all/simultaneously/also/together with/to combine/to join/to merge, amalgamate/combine, and/also/together with",1
142,物,thing/object/matter,1
143,手,hand/convenient,1
144,应,"ought, (surname)/to answer/to respond",1
145,战,to fight/fight/war/battle,1
146,向,"direction/part/side/towards/to/guide/opposite to, guide/opposite to",1
147,头,"head, suff. for nouns",1
148,文,language/culture/writing/formal/literary,1
149,体,body/form/style/system,1
150,政,political/politics/government,1
151,美,America/beautiful,1
152,相,"each other/one another/mutually, appearance/portrait/picture",1
153,见,"to see/to meet/to appear (to be sth)/to interview, appear",1
154,被,by (marker for passive-voice sentences or clauses)/quilt/blanket/to cover/to wear,1
155,利,advantage/benefit/profit/sharp,1
156,什,"what, tenth (used in fractions)",1
157,二,two/2,1
158,等,class/rank/grade/equal to/same as/wait for/await/et cetera/and so on,1
159,产,to reproduce/to produce/give birth/products/produce/resources/estate/property,1
160,或,maybe/perhaps/might/possibly/or,1
161,新,meso- (chem.)/new/newly,1
162,己,6th heavenly stem/self,1
163,制,"system/to make/to manufacture/to control/to regulate, manufacture",1
164,身,body/torso/person/life/status/pregnancy/(a measure word used for clothes) suit,1
165,果,fruit/result,1
166,加,to add/plus,1
167,西,west,1
168,斯,(phonetic)/this,1
169,月,moon/month,1
170,话,dialect/language/spoken words/speech/talk/words/conversation/what someone said,1
171,合,"one-tenth of a peck, Chinese musical note/fit/to join",1
172,回,(a measure word for matters or actions) a time/to circle/to go back/to turn around/to answer/to return/to revolve/Islam,1
173,特,"special/unusual/extraordinary, male animal/special (-ly)",1
174,代,substitute/replace/generation/dynasty/geological era/era/age/period,1
175,内,inside/inner/internal/within/interior,1
176,信,letter/true/to believe/sign/evidence,1
177,表,surface/exterior/to watch/to show/express/an example/a list or table/a meter/a watch/chart/external,1
178,化,to make into/to change into/-ization/to ... -ize/to transform,1
179,老,(a prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family to indicate affection or familiarity)/old (of people),1
180,给,"to/for/for the benefit of/to give/to allow/to do sth (for sb)/(passive particle), to supply/provide",1
181,世,life/age/generation/era/world/lifetime,1
182,位,position/location/(measure word for persons)/place/seat,1
183,次,nth/number (of times)/order/sequence/next/second(ary)/(measure word),1
184,度,capacity/degree/standard,1
185,门,opening/door/gate/doorway/gateway/valve/switch/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy),1
186,任,to assign/to appoint/office/responsibility,1
187,常,always/ever/often/frequently/common/general/constant,1
188,先,early/prior/former/in advance/first,1
189,海,ocean/sea,1
190,通,go through/know well/to connect/to communicate/open,1
191,教,"teach, religion/teaching",1
192,儿,"son, non-syllabic dimi. suff.",1
193,原,former/original/primary/raw/level/cause/source,1
194,东,east,1
195,声,"sound/voice/(a measure word, used for sounds)/tone/noise",1
196,提,"carry (suspended), to carry/to lift/to put forward/(upwards character stroke)/lifting (brush stroke in painting)/to mention",1
197,立,set up/to stand,1
198,及,to reach/and,1
199,比,"(particle used for comparison and ""-er than"")/to compare/to contrast/to gesture (with hands)/ratio, associate with/be near",1
200,员,person/employee/member,1
201,解,"to separate/to divide/to break up/to loosen/to explain/to untie/to emancipate, transport under guard, (surname)",1
202,水,water/river,1
203,名,name/(measure word for persons)/place (e.g. among winners),1
204,真,real/true/genuine,1
205,论,"the Analects (of Confucius), by the/per/discuss/theory/to talk (about)/to discuss",1
206,处,"to reside/to live/to dwell/to be in/to stay/get along with/to be in a position of/deal with, a place/location/spot/point/office/department/bureau/respect",1
207,走,to walk/to go/to move,1
208,义,justice/righteousness/meaning,1
209,各,each/every,1
210,入,to enter,1
211,几,"small table, almost, a few/how many, how much/how many/several/a few",1
212,口,mouth/(a measure word),1
213,认,to recognize/to know/to admit,1
214,条,"measure word for long, thin things (i.e. ribbon, river, etc.)/a strip/item/article",1
215,平,flat/level/equal/to make the same score/to tie/to draw/calm/peaceful,1
216,系,"be/connection/relation/tie up/bind, be/system/to tie/department/faculty, connect/to tie",1
217,气,"air/anger/gas, gas/air/smell/weather/vital breath/to make sb. angry/to get angry/to be enraged",1
218,题,topic/subject/to inscribe/to superscribe,1
219,活,to live/alive/living/work/workmanship,1
220,尔,thus/so/like that/you/thou,1
221,更,"to change, more/even more/further/still/still more",1
222,别,"leave/depart/separate/distinguish/classify/other/another/do not/must not/to pin, contrary/difficult/awkward",1
223,打,"dozen, beat/strike/break/mix up/build/fight/fetch/make/tie up/issue/shoot/calculate/since/from",1
224,女,female/woman,1
225,变,to change/to become different/to transform/to vary/rebellion,1
226,四,four/4,1
227,神,God/unusual/mysterious/soul/spirit/divine essence/lively/spiritual being,1
228,总,always/to assemble/gather/total/overall/head/chief/general/in every case,1
229,何,carry/what/how/why/which,1
230,电,electric/electricity/electrical,1
231,数,"to count, number/figure/to count/to calculate/several, frequently/repeatedly",1
232,安,content/calm/still/quiet/to pacify/peace,1
233,少,"few/little/lack, young",1
234,报,to announce/to inform/report/newspaper/recompense/revenge,1
235,才,"ability/talent/endowment/gift/an expert/only (then)/only if/just, just/not until",1
236,结,knot/sturdy/to bear (fruit)/bond/to tie/to bind,1
237,反,wrong side out or up/anti-,1
238,受,to bear/to stand/to endure/(passive marker)/to receive,1
239,目,eye/item/section/list/catalogue/table of contents/order (taxonomy)/goal/name/title,1
240,太,highest/greatest/too (much)/very/extremely,1
241,量,"to measure, capacity/quantity/amount/to estimate",1
242,再,again/once more/re-/second/another,1
243,感,to feel/to move/to touch/to affect,1
244,建,to establish/to found/to set up/to build/to construct,1
245,务,affair/business/matter,1
246,做,to do/to make/to produce,1
247,接,to extend/to connect/to receive/to join,1
248,必,certainly/must/will/necessarily,1
249,场,"a courtyard/open space/place/field/a measure word/(a measure word, used for sport or recreation)",1
250,件,"a measure word for thing, clothes, item",1
251,计,to calculate/to compute/to count/reckon/ruse/to plan,1
252,管,to take care (of)/to control/to manage/to be in charge of/to look after/to run/tube/pipe,1
253,期,"a period of time/phase/stage/(used for issue of a periodical, courses of study)/time/term/period/to hope",1
254,市,market/city,1
255,直,straight/vertical/frank/directly/straightly/upright,1
256,德,Germany/virtue/goodness/morality/ethics/kindness/favor/character/kind,1
257,资,resources/capital/to provide/to supply/to support/money/expense,1
258,命,life/fate,1
259,山,mountain/hill,1
260,金,metal/money/gold,1
261,指,finger/to point/to direct/to indicate,1
262,克,"gram/subdue/to restrain/to overcome, subdue",1
263,许,to allow/to permit/to praise/(surname),1
264,统,to gather/to unite/to unify/whole,1
265,区,"Ou (surname), area/region/district/small/distinguish",1
266,保,to defend/to protect/to insure or guarantee/to maintain/hold or keep/to guard,1
267,至,arrive/most/to/until,1
268,队,squadron/team/group,1
269,形,to appear/to look/form/shape,1
270,社,society/group,1
271,便,"ordinary/plain/convenient/handy/easy/then/so/thus/to relieve oneself, advantageous/cheap",1
272,空,"air/sky/empty/in vain, emptied/leisure",1
273,决,breach (a dyke)/to decide/to determine,1
274,治,to rule/to govern/to manage/to control/to harness (a river)/cure/treatment/to heal,1
275,展,to use/to spread out/to postpone/to unfold,1
276,马,horse/horse chess piece/Surname,1
277,科,"branch of study/administrative section/division/field/branch/stage directions/family (taxonomy)/rules/laws/to mete out (punishment)/to levy (taxes, etc.)/to fine somebody",1
278,司,company/control,1
279,五,five/5,1
280,基,base/foundation/basic/radical (chem.),1
281,眼,eye,1
282,书,book/letter,1
283,非,non-/not-/un-,1
284,则,(expresses contrast with a previous sentence or clause)/standard/norm/rule/to imitate/to follow/then/principle,1
285,听,"listen/hear/obey, let/allow",1
286,白,white/snowy/empty/blank/bright/clear/plain/pure/gratuitous,1
287,却,but/yet/however/while/to go back/to decline/to retreat/nevertheless,1
288,界,boundary/scope/extent/circles/group/kingdom (taxonomy),1
289,达,attain/pass through/achieve/reach/realize/clear/inform/notify/dignity,1
290,光,light/ray/bright,1
291,放,to release/to free/to let go/to put/to place/to let out,1
292,强,strength/force/power/powerful/better,1
293,即,namely/right away/to approach/to draw near,1
294,像,(look) like/similar (to)/appearance/to appear/to seem/image/portrait/resemble/seem,1
295,难,"difficult (to...)/problem/difficulty/difficult/not good, disaster/distress/to scold",1
296,且,further/moreover,1
297,权,authority/power/right,1
298,思,to think/to consider,1
299,王,king/Wang (proper name),1
300,象,shape/form/appearance/elephant/image under a map (math.),1
301,完,to finish/to be over/whole/complete/entire,1
302,设,to set up/to arrange/to establish/to found/to display,1
303,式,type/form/pattern/style,1
304,色,"color/look/appearance, color/dice",1
305,路,(surname)/road/path/way,1
306,记,to remember/to note/mark/sign/to record,1
307,南,south,1
308,品,conduct/grade/thing/product/good,1
309,住,to live/to dwell/to reside/to stop,1
310,告,to tell/to inform/to say,1
311,类,kind/type/class/category/similar/like/to resemble,1
312,求,to seek/to look for/to request/to demand/to beseech,1
313,据,"sickness of hand, act in accordance with/seize, according to/to act in accordance with/to depend on/to seize/to occupy",1
314,程,rule/order/regulations/formula/journey/procedure/sequence/a surname,1
315,北,north,1
316,边,side/edge/margin/border/boundary,1
317,死,to die/inpassable/uncrossable/inflexible/rigid,1
318,张,(a measure word)/(a surname)/open up,1
319,该,that/the above-mentioned/most likely/to deserve/should/ought to/owe,1
320,交,to deliver/to turn over/to make friends/to intersect (lines)/to pay (money),1
321,规,compass/rule,1
322,万,Wan (surname)/ten thousand/a great number,1
323,取,to take/to get/to choose/to fetch,1
324,拉,to pull/to play (string instruments)/to drag/to draw,1
325,格,frame/rule,1
326,望,hope/expect/to visit/to gaze (into the distance)/look towards/towards,1
327,觉,"a nap/a sleep, feel/find that/thinking/awake/aware",1
328,术,"method/technique, Atractylis lancea var. ovata",1
329,领,neck/collar/to lead/to receive,1
330,共,all together/in while/to share/common/general/together,1
331,确,"authenticated/solid/firm, authenticated/solid/firm/real/true",1
332,传,"to pass on/to spread/to transmit/to infect/to transfer/to circulate/to pass on/to conduct (electricity), biography",1
333,师,a division (milit.)/teacher/master/expert/model,1
334,观,"to look at/to watch/to observe/to behold, Taoist monastery",1
335,清,clear/distinct/complete/pure,1
336,今,today/modern/present/current/this/now,1
337,切,"to cut/to slice, close to",1
338,院,courtyard/institution,1
339,让,to ask/to let/permit/have (someone do something)/to yield/to allow,1
340,识,"to know/knowledge, to record/write a footnote",1
341,候,wait,1
342,带,band/belt/girdle/ribbon/area/zone/region/wear/carry/lead/bring/consists of/show/and,1
343,导,to transmit/to lead/to guide/to conduct/to direct,1
344,争,struggle/fight,1
345,运,to move/to transport/to use/to apply/fortune/luck/fate,1
346,笑,laugh/smile,1
347,飞,to fly,1
348,风,wind/news/style/custom/manner,1
349,步,a step/a pace/walk/march/stages in a process,1
350,改,to change/to alter/to transform/to correct,1
351,收,to receive/to accept/to collect/in care of (used on address line after name),1
352,根,radical (chem.)/root/basis,1
353,干,"dry/to concern/shield, to work/to do/to manage, manage/stem",1
354,造,to make/to build/to invent/to manufacture,1
355,言,to speak/to say/talk/word,1
356,联,to ally/to unite/to join,1
357,持,to grasp/to hold/support/manage/direct/maintain,1
358,组,to form/compose/make up/group/to organize/cord,1
359,每,each/every,1
360,济,aid/ferry/frugal,1
361,车,"car/a vehicle/machine/to shape with a lathe, vehicle on land",1
362,亲,"dear/intimate/parent/relation/closely related, parents-in-law of one's offspring",1
363,极,"extremely/pole (geography, physics)/utmost/top",1
364,林,woods/forest,1
365,服,clothes/dress/garment/submit/take (medicine),1
366,快,fast/quick/swift,1
367,办,to do/to manage/to handle/to go about/to run/to set up/to deal with,1
368,议,criticize/discuss,1
369,往,"to go (in a direction)/past/previous/towards, toward/(of a train) bound for",1
370,元,(dynasty)/dollar/primary/first,1
371,英,(surname)/English/brave,1
372,士,scholar/warrior/knight,1
373,证,"prove, confirm, verify/proof, certificate/proof/to prove/to demonstrate/to confirm/certificate/proof",1
374,近,near/close (to)/approximately,1
375,失,to lose/to miss/to fail,1
376,转,"to convey/to forward (mail)/to transfer/to turn/to shift, to revolve/to turn/to circle about/to walk about",1
377,夫,"porter, husband/man",1
378,令,make or cause to be/order/command/decree/honorable,1
379,准,"to allow/to grant/to permit/accurate/standard, accurate/standard",1
380,布,"diffuse/extend/notify, to declare/to announce/to spread/to make known/spread/(cotton) cloth",1
381,始,begin,1
382,怎,how,1
383,呢,"(question particle), woolen material",1
384,存,exist/deposit/store/keep/survive,1
385,未,1-3 p.m./8th earthly branch/not yet/did not/have not/not,1
386,远,far/distant/remote,1
387,叫,to (be) call(ed),1
388,台,"surname/(classical) you (in letters)/platform/Taiwan (abbr.), desk/platform, (measure word)/platform/stage/terrace/stand/support/desk/station/broadcasting station, typhoon",1
389,单,"chieftain, bill/list/form/single/only/sole, (surname)",1
390,影,picture/image/reflection/shadow,1
391,具,tool/device/utensil/equipment/instrument,1
392,罗,"fussy/talkative, subordinate in a gang of bandits, (surname)/gauze/to collect/to gather/to catch/to shift",1
393,字,letter/symbol/character/word,1
394,爱,to love/affection/to be fond of/to like,1
395,击,to hit/to strike/to break,1
396,流,to flow/to spread/to circulate/to move,1
397,备,to prepare/get ready/to provide or equip,1
398,兵,soldiers/a force/an army/weapons/arms/military/warlike,1
399,连,(surname)/even/as/join/to link/successively,1
400,调,"mode (music)/to move (troops)/tune/tone/melody/to transfer, harmonize/reconcile/blend/suit well/provoke/incite",1
401,深,deep/profound,1
402,商,commerce/consult,1
403,算,regard as/to figure/to calculate/to compute,1
404,质,hostage/substance/nature/quality,1
405,团,"regiment/round/circular/group/society, dumpling",1
406,集,to gather/to collect/collected works,1
407,百,hundred,1
408,需,to require/to need/to want/necessity/need,1
409,价,"price/value/valence (on an atom), great/good/middleman/servant",1
410,花,"flower/blossom/to spend (money, time)/fancy pattern",1
411,党,"party, party/association/club/society",1
412,华,"(abbreviation for) China/(surname) Hua/magnificent/splendid/flowery, (surname)/name of a mountain",1
413,城,city walls/city/town,1
414,石,"10 pecks, rock/stone",1
415,级,level/grade/rank/step,1
416,整,exactly/in good order/whole/complete/entire/in order/orderly,1
417,府,prefecture/mansion,1
418,离,to leave/to depart/to go away/from,1
419,况,moreover/situation,1
420,亚,Asia/Asian/second/next to/inferior,1
421,请,"to ask/to invite/please (do sth)/to treat (to a meal, etc)/to request",1
422,技,skill,1
423,际,border/edge/boundary/between/among/interval/while,1
424,约,"weigh, appointment/agreement/to arrange/to restrict/approximately",1
425,示,to show/reveal,1
426,复,"again/recover/reply to a letter/to repeat/to duplicate, repeat, double, overlap",1
427,病,ailment/sickness/illness/disease/fall ill/sick/defect,1
428,息,news/interest/breath/rest,1
429,究,after all/to investigate/to study carefully,1
430,线,thread/string/wire/line,1
431,似,to seem/to appear/similar/like/to resemble,1
432,官,official/government,1
433,火,fire,1
434,断,absolutely/decidedly (in negative constructions)/break/to judge,1
435,精,energy/perfect/excellent/refined/very/proficient,1
436,满,Manchurian/to fill/to fulfill/filled/packed,1
437,支,(a measure word)/to support/to sustain/to erect/to raise/branch/division/to draw money,1
438,视,to look at/to regard/to inspect,1
439,消,consume/news/subside/to disappear/to vanish,1
440,越,to exceed/to climb over/to surpass/the more ... the more,1
441,器,device/tool/utensil,1
442,容,to hold/to contain/to allow/appearance/look/countenance,1
443,照,according to/in accordance with/to shine/to illuminate/to reflect/photograph,1
444,须,"beard/necessary/must, beard/mustache",1
445,九,nine/9,1
446,增,to increase/to expand/to add,1
447,研,grind fine/study/research,1
448,写,to write,1
449,称,"balanced/to fit/well-off/suitable, to call/to praise/to weigh/to estimate/to consider/to call/to address/to name/to say/commend, steelyard",1
450,企,plan a project/stand on tiptoe,1
451,八,eight/8,1
452,功,merit/achievement/result/service/accomplishment,1
453,吗,"morphine, (question tag)",1
454,包,to cover/to wrap/to hold/to include/to take charge of/package/wrapper/container/bag/to hold or embrace/bundle/packet/to contract (to or for),1
455,片,"disc/sheet, a slice/piece/flake/thin/slice",1
456,史,history,1
457,委,"crooked, give up/indeed/to commission",1
458,乎,(interrog. part.),1
459,查,"to research/to check/to investigate/to examine/to refer to/to search, (surname)",1
460,轻,light/easy/gentle/soft/reckless/unimportant/frivolous/small in number/unstressed/neutral/soft,1
461,易,(surname)/change/easy/simple,1
462,早,early/morning,1
463,曾,"(refers to something that happened previously)/already/at some time in the past/before/once, (surname)/great-grand (father)",1
464,除,remove/do away with/wipe out/divide/except,1
465,农,agriculture,1
466,找,to try to find/to look for/to call on (sb)/to find/to seek/to return/to look for,1
467,装,adornment/adorn/costume/dress/clothing,1
468,广,wide/numerous/to spread,1
469,显,prominent/conspicuous,1
470,吧,"(onomat.)/dumb, (modal particle indicating polite suggestion)/...right?/...OK?",1
471,阿,"an initial particle/prefix to names of people, (phonetic character), (final part.)/(interj.), flatter",1
472,李,(a surname)/plum,1
473,标,the topmost branches of a tree/surface/sign/to mark/(outward) sign/indication/prize/award/bid,1
474,谈,to speak/to talk/to converse/to chat/to discuss/(surname),1
475,吃,"eat/eradicate/destroy/receive, eat, stammer",1
476,图,diagram/to plan/picture/drawing/chart,1
477,念,"read aloud, to read aloud",1
478,六,six/6,1
479,引,to lead/to divert (water)/to guide,1
480,历,"calendar, to experience/to undergo/to pass through/all/each/every/calendar",1
481,首,head/chief/first (occasion)/first (thing)/measure word for poems,1
482,医,medical/medicine/doctor/to cure/to treat,1
483,局,"narrow, (a measure word used for games) set or round office/situation/office",1
484,突,to dash/to move forward quickly,1
485,专,"for a particular person, occasion, purpose/focused on one thing/special/expert/particular (to sth)/concentrated/specialized, concentrated/specialized",1
486,费,to cost/to spend/fee/wasteful/expenses/(surname),1
487,号,"roar/cry, day of a month/(suffix used after) name of a ship/(ordinal) number",1
488,尽,"to the utmost, to use up/to exhaust/to end/to finish/to the utmost/exhausted/finished/to the limit (of sth)",1
489,另,other/another/separate/separately,1
490,周,"(surname)/complete/encircle/circuit/lap/week/cycle/all/every/attentive/thoughtful, bestow alms, cycle/week",1
491,较,clear/distinct/compare/comparatively,1
492,注,"to inject/to pour into/to concentrate/to pay attention/to note/to comment on/to record/to register/to annotate, annotate",1
493,语,"dialect/language/speech, tell to",1
494,仅,barely/only/merely,1
495,考,to check/to verify/to test/to examine,1
496,落,"leave behind, alight/to fall/to drop (behind)",1
497,青,"green (blue, black)",1
498,随,to follow/to comply with/to allow/(surname),1
499,选,to choose/to pick/to select/to elect,1
500,列,to arrange/to line up/row/file/series,1
501,武,martial/military,1
502,红,bonus/popular/red/revolutionary,1
503,响,to make a sound/to sound/to ring/(a measure word for sound)/loud,1
504,虽,although/even though,1
505,推,push/refuse (responsibility)/shove,1
506,势,conditions/influence/tendency,1
507,参,"take part in/participate/join/attend/to join/unequal/varied/irregular/to counsel/uneven/not uniform, ginseng",1
508,希,rare/infrequent,1
509,古,ancient/old,1
510,众,multitude,1
511,构,Broussonetia papyrifera/to construct/to form/to make up/to compose,1
512,房,house,1
513,半,half/semi-/incomplete/(after a number) and a half/half,1
514,节,festival/section/segment/point/part/to economize/to save/temperate,1
515,土,earth/dust,1
516,投,to throw/to send,1
517,某,(used before measure word and noun) some/(a) certain/so and so,1
518,案,(legal) case/incident/record/file/table,1
519,黑,black/dark,1
520,维,to preserve/to maintain/to hold together/dimension,1
521,革,leather/remove,1
522,划,"to row, to delimit/to transfer/to assign/to differentiate/to mark off/to draw (a line)/to delete/stroke of a Chinese character",1
523,敌,enemy/match,1
524,致,"fine and close, to send/to devote/to deliver/to cause/to convey",1
525,陈,arrange/exhibit/narrate/tell/old/stale/a surname/to state/to display/to explain/(surname),1
526,律,law,1
527,足,foot/to be sufficient,1
528,态,attitude,1
529,护,protect,1
530,七,seven/7,1
531,兴,"flourish/it is the fashion to/to become popular, interest",1
532,派,clique/school/group/faction/to dispatch,1
533,孩,child,1
534,验,to examine/to test/to check,1
